,base,authors_l,title_l,title,journal_l,keywords_l,year,language,doi
0,lisa,"forough rahimi, nosrat riahinia, hamzehali nourmohammadi, hajar sotudeh, mohammad tavakolizadeh-ravari",how academia and society pay attention to climate changes a bibliometric and altmetric analysis,How Academia and Society Pay Attention to Climate Changes: A Bibliometric and Altmetric Analysis,webology,"research , peer review , bibliometrics , citation indexes , social networks , scholars , international organizations , informetrics , quality control , information sources , climate change , visualization",2019,English,
1,lisa,"masoumeh ansari, mohammad fallah, alireza noruzi, masoud rasolabadi",comparing the presence of researchers of medical universities of western provinces of iran on researchgate and scopus,Comparing the Presence of Researchers of Medical Universities of Western Provinces of Iran on ResearchGate and Scopus,webology,"software , search engines , scientometrics , collaboration , bibliometrics , science , citation indexes , studies , medical research , social networks , researchers , data bases , informetrics , hirsch index , iran , kurdistan",2019,English,
2,lisa,"wilson correa junior da fonseca, roberto de camargo penteado filhow, antonio flavio dias avila, claudio costa cardoso",lavaluacio bibliometrica dinstitucions de recerca mes enlla de la comunicacio cientifica el cas dembrapa,L'avaluació bibliomètrica d'institucions de recerca més enllà de la comunicació científica: el cas d'Embrapa,bid textos universitarios de biblioteconomia i documentacio,"bibliometrics , scholarly communication , communications technology , information technology , brazil",2019,English,10.1344/bid2019.43.19
3,lisa,"nandhini devi soundara pandian, jin-cheon na, bhargavi veeramachaneni, rashmi vishwanath boothaladinni",altmetrics factor analysis for assessing the popularity of research articles on twitter,Altmetrics: Factor Analysis for Assessing the Popularity of Research Articles on Twitter,journal of information science theory and practice,"social networks , bibliometrics , informetrics , research funding , discriminant analysis",2019,English,10.1633/jistap.2019.7.4.3
4,lisa,"michela montesi, isabel villasenor rodriguez, fernando bittencourt dos santos",presencia actividad visibilidad e interdisciplinariedad del profesorado universitario de documentacion en los medios sociales una perspectiva de genero,"Presencia, actividad, visibilidad e interdisciplinariedad del profesorado universitario de Documentación en los medios sociales: una perspectiva de género",revista espanola de documentacion cientifica,"gender differences , gender aspects , web 2.0 , citations , scientometrics , collaboration , bibliometrics , social networks , scientific papers , interdisciplinary aspects , social networks , library and information science , visibility , scholars , libraries , scholarly communication , digital media , social research , open access",2019,Spanish,10.3989/redc.2019.4.1640
5,lisa,"daniel g kipnis msi, lisa a msls palmer, ramune k mals kubilius",the institutional repository landscape in medical schools and academic health centers a 2018 snapshot view and analysis,The institutional repository landscape in medical schools and academic health centers: a 2018 snapshot view and analysis,journal of the medical library association,"digital archives , library collections , medical libraries , health facilities , learning commons , health sciences , internet resources , scholarly communication , medical schools , medical school libraries , open access , institutional repositories , united states--us",2019,English,10.5195/jmla.2019.653
6,lisa,"caitlin j ahip bakker, jenny mcburney, katherine v chew, melissa aho, del reed",implementing and assessing a service to demonstrate public impact of faculty research in news and policy sources,Implementing and assessing a service to demonstrate public impact of faculty research in news and policy sources,journal of the medical library association,"scientometrics , news media , bibliometrics , embedded librarianship , academic libraries , clinical medicine , funding , information professionals , medical libraries , researchers , librarians , health sciences , informetrics , scholarly communication , library associations , liaison work , media coverage , minnesota",2019,English,10.5195/jmla.2019.709
7,lisa,"shiobhan alice smith, antje lubcke, alexander dean, kate thompson, christy ballard, fiona glasgow",listening and learning myths and misperceptions about postgraduate students and library support,Listening and learning: myths and misperceptions about postgraduate students and library support,reference services review,"qualitative analysis , data analysis , software , questions , libraries , web sites , learning , marketing , questionnaires , support services , focus groups , supervisors , social networks , surveying , librarians , software , colleges & universities , students , graduate studies , new zealand",2019,English,10.1108/rsr-03-2019-0019
8,lisa,"chengzhi zhang, tiantian tong, yi bu",examining differences among book reviews from various online platforms,Examining differences among book reviews from various online platforms,online information review,"writers , web 2.0 , data mining , web sites , motion pictures , bibliometrics , sentiment analysis , social networks , product reviews , websites , preferences , impact analysis , linguistics , platforms , libraries , logistics , book reviews , social sciences , evaluation , china",2019,English,10.1108/oir-01-2019-0037
9,lisa,"yanfen zhou, na jin-cheon",a comparative analysis of twitter users who tweeted on psychology and political science journal articles,A comparative analysis of Twitter users who Tweeted on psychology and political science journal articles,online information review,"research , psychology , machine learning , web 2.0 , psychology , citations , demographics , artificial intelligence , demographics , politics , organizations , gender , researchers , machine learning , political science , social sciences , bibliometrics , support vector machines , studies , social networks , informetrics , popularity , scholarly communication , dirichlet problem , geographical locations , ukraine",2019,English,10.1108/oir-03-2019-0097
10,lisa,"champeswar mishra, bulu maharana",impact of social media on academic business school libraries in india an empirical study,Impact of Social Media on Academic Business School Libraries in India : An Empirical Study,library philosophy and practice,"social networks , innovations , marketing , librarians , students , collaboration , academic libraries , india",2019,English,
11,lisa,"hazel hall, peter cruickshank, bruce ryan",closing the researcher practitioner gap,Closing the researcher-practitioner gap,journal of documentation,"social networks , workshops , research methodology , communities , networks , learning , workshops , information services , domains , topology , united kingdom--uk",2019,English,10.1108/jd-12-2018-0212
12,lisa,"jaime a teixeira da silva, panagiotis tsigaris, aceil al-khatib",open access mega journals quality economics and post publication peer review infrastructure,"Open Access Mega-Journals: Quality, Economics and Post-publication Peer Review Infrastructure",publishing research quarterly,"peer review , journals , publishing , open access , journals (academic) , business",2019,English,10.1007/s12109-019-09654-8
13,lisa,"htet htet aung, zheng han, mojisola erdt, ashley sara aw, sei-ching joanna sin, yin-leng theng",investigating familiarity and usage of traditional metrics and altmetrics,Investigating familiarity and usage of traditional metrics and altmetrics,journal of the association for information science and technology,"social networks , scholars , journals , bibliometrics , demographics , social networks , informetrics , digital media , demography , familiarity , language usage , respondents",2019,English,10.1002/asi.24162
14,lisa,"crispulo travieso rodriguez, ronaldo ferreira araujo",aspectos metodologicos de los datos abiertos de investigacion analisis de los conjuntos de datos de la coleccion scielo incluidos en figshare,Aspectos metodológicos de los datos abiertos de investigación: análisis de los conjuntos de datos de la colección SciELO incluidos en Figshare,revista espanola de documentacion cientifica,"research data management , qualitative analysis , research methodology , open data , datasets , scientometrics , data acquisition , bibliometrics , journals , science , citation indexes , information sharing , indicators , medical libraries , sustainable development , scholarly communication , library associations , data sets , open access",2019,Spanish,10.3989/redc.2019.3.1597
15,lisa,"john oluwaseye cln adebayo, juliet cln alex-nmecha",survey of library and information science education in nigeria the case of two lis schools,Survey of Library and Information Science Education in Nigeria: The Case of Two LIS Schools,library philosophy and practice,"research data management , web 2.0 , students , capital assets , collaboration , information literacy , curricula , trends , intellectual capital , science education , studies , knowledge , newsletters , library and information science , librarians , data analysis , schools of library and information science , 21st century , professionals , distance learning , scholarly communication , open access , institutional repositories , nigeria , africa",2019,English,
16,lisa,"andrew m cox, stephen pinfield, sophie rutter",the intelligent library,The intelligent library,library hi tech,"machine learning , big data , computers , libraries , metadata , information literacy , trends , academic libraries , artificial intelligence , intelligibility , information resources , supercomputers , library collections , librarians , licenses , data analysis , digital preservation , automation , privacy , scholarly publishing , artificial intelligence , ethical standards , collection management , quality control",2019,English,10.1108/lht-08-2018-0105
17,lisa,helena francke,the academic web profile as a genre of self making,The academic web profile as a genre of “self-making”,online information review,"research , qualitative analysis , writers , authoring , genre , web sites , writing , studies , scientific papers , websites , content analysis , social networks , visibility , authorship , researchers",2019,English,10.1108/oir-12-2017-0347
18,lisa,"a tyler nix, judith e smith",research impact core a research impact initiative at the university of michigan,Research Impact Core: A Research Impact Initiative at the University of Michigan,medical reference services quarterly,"research , medical libraries , partnerships , training , michigan",2019,English,10.1080/02763869.2019.1623618
19,lisa,"shabnam heydari, maryam shekofteh, maryam kazerani",relationship between altmetrics and citations a study on the highly cited research papers,Relationship between Altmetrics and Citations A Study on the Highly Cited Research Papers,desidoc journal of library information technology,"researchers , bibliometrics , surgery , informetrics , surgery , scientific papers , correlation coefficients , population (statistical) , digital media",2019,English,10.14429/djlit.39.4.14204
20,lisa,marcus vaska,when the virtual becomes reality an environmental scan of the presence of virtual reality and artificial intelligence in health and cancer care environments,When the Virtual Becomes Reality: An Environmental Scan of the Presence of Virtual Reality and Artificial Intelligence in Health and Cancer Care Environments,the grey journal,"cancer , social networks , grey literature , bibliometrics , artificial intelligence , virtual reality",2019,English,
21,lisa,"rosie mls hanneke, jeanne m mls link",the complex nature of research dissemination practices among public health faculty researchers,The complex nature of research dissemination practices among public health faculty researchers,journal of the medical library association,"user services , user training , grey literature , internet , information literacy , audiences , studies , medical research , information seeking behavior , health disparities , public health , scholars , medical libraries , librarians , researchers , health sciences , visualization , interviews , disease control , library associations , institutional repositories",2019,English,10.5195/jmla.2019.524
22,lisa,bart ragon,alignment of library services with the research lifecycle,Alignment of library services with the research lifecycle,journal of the medical library association,"user services , software , internet , scientometrics , bibliometrics , national libraries , bioinformatics , studies , funding , knowledge , medical research , biomedical research , library collections , researchers , librarians , health sciences , qualitative research , interviews , united states--us",2019,English,10.5195/jmla.2019.595
23,lisa,"helen yueping he, madeline gerbig, sabrina kirby",needs assessment for improving library support for dentistry researchers,Needs assessment for improving library support for dentistry researchers,journal of the medical library association,"grey literature , bibliometrics , academic libraries , publications , funding , college campuses , open access publishing , social networks , researchers , librarians , dentistry , informetrics , scholarly communication , social research , roles , institutional repositories , united states--us",2019,English,10.5195/jmla.2019.556
24,lisa,roxann w ahip mouratidis,dimensions,Dimensions,journal of the medical library association,"research , digital object identifier , metadata , bibliometrics , science , citation indexes , publications , open access publishing , clinical trials , medical libraries , librarians , researchers , data bases , registration , informetrics , scholarly communication , massachusetts , florida",2019,English,10.5195/jmla.2019.695
26,lisa,"sapna verma, margam madhusudhan",an altmetric comparison of highly cited digital library publications of india and china,An altmetric comparison of highly cited digital library publications of India and China,annals of library and information studies,"digital libraries , bibliometrics , informetrics , china , india",2019,English,
27,lisa,"c vysakh, rajendra h babu",citations v s altmetric attention score a comparison of top 10 highly cited papers in nature,Citations v/s Altmetric Attention Score: A Comparison of Top 10 Highly Cited Papers in Nature,library philosophy and practice,"research , citations , deep learning , collaboration , bibliometrics , studies , social bookmarking , social networks , scholars , informetrics , scholarly communication , united states--us , india , united kingdom--uk",2019,English,
28,lisa,"muhammad yousuf ali, joanna richardson",google scholar citation metrics of pakistani lis scholars an overview,Google Scholar Citation metrics of Pakistani LIS scholars: an overview,global knowledge memory and communication,"higher education , science , bibliometrics , web sites , citation indexes , library and information science , social networks , scholars , researchers , data bases , humanities , hirsch index , social sciences , scholarly communication , social research , pakistan",2019,English,10.1108/gkmc-03-2018-0025
29,lisa,"carlos alberto avila araujo, marta ligia pomim valentim",a ciencia da informacao no brasil mapeamento da pesquisa e cenario institucional the information science in brazil research mapping and institutional outlook,A Ciência da Informação no Brasil: mapeamento da pesquisa e cenário institucional / The Information Science in Brazil: research mapping and institutional outlook,bibliotecas anales de investigacion,"research , researchers , information science , mapping , brazil",2019,Portuguese,
