,title,article_type,authors,doi,document_type,issue,language,year,vol,keywords,url,journal,link,abstract,keywords_l,authors_l,title_l,journal_l
0,How Academia and Society Pay Attention to Climate Changes: A Bibliometric and Altmetric Analysis,Scholarly Journals,"forough rahimi, nosrat riahinia, hamzehali nourmohammadi, hajar sotudeh, mohammad tavakolizadeh-ravari",,Journal Article,2,English,2019,16," Research , Peer review , Bibliometrics , Citation indexes , Social networks , Scholars , International organizations , Informetrics , Quality control , Information sources , Climate change , Visualization",,Webology,http://YH8ZS7TR6M.search.serialssolutions.com/directLink?&amp;atitle=How+Academia+and+Society+Pay+Attention+to+Climate+Changes%3A+A+Bibliometric+and+Altmetric+Analysis&amp;author=Rahimi%2C+Forough%3BRiahinia%2C+Nosrat%3BNourmohammadi%2C+Hamzehali%3BSotudeh%2C+Hajar%3BTavakolizadeh-Ravari%2C+Mohammad&amp;issn=&amp;title=Webology&amp;volume=16&amp;issue=2&amp;date=2019-12-01&amp;spage=108&amp;id=doi:&amp;sid=ProQ_ss&amp;genre=article,"With the help of social web, social users can create, manage, share or react without undergoing the formal mechanisms of quality control. The way social users respond to scholarly outputs on the social web is called social citation, which can show the broadening of impact from academia to society. Climate change is one of the most life-threatening issues that everybody should be sensible and react to. Studying the scientific and social citations of articles dealing with climate changes, the present study attempts to provide new insights into the amount of social users' attention and reactions. It also investigates the correlation between scientific and social citations to shed light on the potential of altmetrics as an alternative or supplementary to its traditional predecessor. Besides, the study aims to carry out co-word analysis of scientific texts in the field and identify hot topics. Our findings showed that 3141 out of 6100 climate changes related articles retrieved from WoS were present in Altmetric explorer. They received 84380 and 17361 social and traditional citations, respectively. The articles were revealed to be mostly represented in Mendeley (133002 reads) and Tweeter (72108 tweets) followed by News outlet, Facebook, and blogs. The results of Spearman correlation test revealed a significant, though weak, correlation between WoS citations and social citations including Tweets, Mendeley readers, Facebook posts, blog posts, Google+ posts, news outlet and Article Attention Score. Multidisciplinary sciences were the most productive subject areas with the highest number of scientific and social citations. Co-word analysis of the articles showed that greenhouse gases emission; warming; species; adaptation; precipitation; energy; country, soil and crops are among the most frequent words. The value of the present study lies in the clarification of the extent to which social network users pay attention to climatic issues and how much is the power of altmetrics in showing the impact of science on society. Visualization of climate changes articles helps redirect cultural-political debates and associates discourses. It can help raise awareness in people and engage them in environmental conservation.","research , peer review , bibliometrics , citation indexes , social networks , scholars , international organizations , informetrics , quality control , information sources , climate change , visualization","forough rahimi, nosrat riahinia, hamzehali nourmohammadi, hajar sotudeh, mohammad tavakolizadeh-ravari",how academia and society pay attention to climate changes a bibliometric and altmetric analysis,webology
1,Comparing the Presence of Researchers of Medical Universities of Western Provinces of Iran on ResearchGate and Scopus,Scholarly Journals,"masoumeh ansari, mohammad fallah, alireza noruzi, masoud rasolabadi",,Journal Article,2,English,2019,16," Software , Search engines , Scientometrics , Collaboration , Bibliometrics , Science , Citation indexes , Studies , Medical research , Social networks , Researchers , Data bases , Informetrics , Hirsch index , Iran , Kurdistan",,Webology,http://YH8ZS7TR6M.search.serialssolutions.com/directLink?&amp;atitle=Comparing+the+Presence+of+Researchers+of+Medical+Universities+of+Western+Provinces+of+Iran+on+ResearchGate+and+Scopus&amp;author=Ansari%2C+Masoumeh%3BFallah%2C+Mohammad%3BNoruzi%2C+Alireza%3BRasolabadi%2C+Masoud&amp;issn=&amp;title=Webology&amp;volume=16&amp;issue=2&amp;date=2019-12-01&amp;spage=257&amp;id=doi:&amp;sid=ProQ_ss&amp;genre=article,"The aim of the present study was to compare the presence of researchers of Medical Universities of Western Provinces of Iran (i.e., Kurdistan, Hamadan, Kermanshah, and Ilam) on ResearchGate and Scopus using altmetric approach. This research also aimed to identify the significant difference between the Scopus indicators and the altmetric indicators of ResearchGate. The statistical population of this research consists of the researchers from University of Medical Sciences in Kurdistan, Hamadan, Kermanshah and Ilam with indexed documents in Scopus and affiliated with ResearchGate that were compared and reviewed by the author's work on ResearchGate. According to Scopus, Kurdistan University of Medical Sciences had the highest average number of documents, Hamadan University of Medical Sciences has the highest average h-index, and Kermanshah University of Medical Sciences had the highest average citation count. Based on the number of publications, Ilam University of Medical Sciences had the highest average, based on the ResearchGate Score (RG Score), Kurdistan University of Medical Sciences had the highest score and based on the following and followers indicators, Kermanshah University of Medical Sciences received the highest score. Increasing the number of documents uploaded on ResearchGate will increase the citations in Scopus and, consequently, the h-index will increase.","software , search engines , scientometrics , collaboration , bibliometrics , science , citation indexes , studies , medical research , social networks , researchers , data bases , informetrics , hirsch index , iran , kurdistan","masoumeh ansari, mohammad fallah, alireza noruzi, masoud rasolabadi",comparing the presence of researchers of medical universities of western provinces of iran on researchgate and scopus,webology
2,L'avaluació bibliomètrica d'institucions de recerca més enllà de la comunicació científica: el cas d'Embrapa,Scholarly Journals,"wilson correa junior da fonseca, roberto de camargo penteado filhow, antonio flavio dias avila, claudio costa cardoso",10.1344/bid2019.43.19,Journal Article,43,English,2019,0," Bibliometrics , Scholarly communication , Communications technology , Information technology , Brazil",,BiD. Textos Universitarios de Biblioteconomía i Documentació,http://YH8ZS7TR6M.search.serialssolutions.com/directLink?&amp;atitle=L%27avaluaci%C3%B3+bibliom%C3%A8trica+d%27institucions+de+recerca+m%C3%A9s+enll%C3%A0+de+la+comunicaci%C3%B3+cient%C3%ADfica%3A+el+cas+d%27Embrapa&amp;author=da+Fonseca%2C+Wilson+Corr%C3%AAa%2C+J%C3%BAnior%3BFilhow%2C+Roberto+de+Camargo+Penteado%3BAvila%2C+Antonio+Flavio+Dias%3BCardoso%2C+Claudio+Costa&amp;issn=15755886&amp;title=BiD.+Textos+Universitarios+de+Biblioteconom%C3%ADa+i+Documentaci%C3%B3&amp;volume=&amp;issue=43&amp;date=2019-12-01&amp;spage=&amp;id=doi:10.1344%2FBiD2019.43.19&amp;sid=ProQ_ss&amp;genre=article,"En les últimes dècades, el sorgiment de les noves tecnologies de la informació i la comunicació ha comportat l'ampliació dels estudis bibliomètrics més enllà dels productes de la comunicació científica (articles, ressenyes, etc.) amb la incorporació de l'anàlisi d'altres continguts (pàgines web, repositoris de publicacions tècniques, apunts en xarxes socials, etc.), per mitjà de l'analítica web i de la bibliometria alternativa. Aquest treball presenta les implicacions d'aquest canvi per a l'Empresa Brasileira de Pesquisa Agropecuária (Embrapa), que els últims anys ha passat a tenir en compte, en el seu sistema d'avaluació del rendiment, el nombre de citacions d'articles científics i el nombre de descàrregues de publicacions tècniques disponibles en el seu portal d'Internet. Com es pot veure en aquest article, els 42 centres de recerca de la institució presenten comportaments diferenciats pel que fa al rendiment en la producció exclusivament científica (nombre d'articles científics i de citacions) i en la producció tècnica (descàrregues de manuals, butlletins i altres publicacions). L'existència d'aquestes diferències està comportant que l'Embrapa consideri, en el seu sistema d'avaluació del rendiment, les particularitats dels seus centres de recerca, ja sigui en l'àmbit del procés de producció de coneixement i tecnologia, ja sigui en les formes de comunicació. A partir d'aquesta experiència, s'arriba a la conclusió que el desenvolupament d'indicadors bibliomètrics adequats per gestionar institucions d'ensenyament i recerca requereix una mirada àmplia, que tingui en compte els acords institucionals, els fluxos d'informació i la influència recíproca entre ciència i societat.","bibliometrics , scholarly communication , communications technology , information technology , brazil","wilson correa junior da fonseca, roberto de camargo penteado filhow, antonio flavio dias avila, claudio costa cardoso",lavaluacio bibliometrica dinstitucions de recerca mes enlla de la comunicacio cientifica el cas dembrapa,bid textos universitarios de biblioteconomia i documentacio
3,Altmetrics: Factor Analysis for Assessing the Popularity of Research Articles on Twitter,Scholarly Journals,"nandhini devi soundara pandian, jin-cheon na, bhargavi veeramachaneni, rashmi vishwanath boothaladinni",10.1633/jistap.2019.7.4.3,Journal Article,4,English,2019,7," Social networks , Bibliometrics , Informetrics , Research funding , Discriminant analysis",,Journal of Information Science Theory and Practice,http://YH8ZS7TR6M.search.serialssolutions.com/directLink?&amp;atitle=Altmetrics%3A+Factor+Analysis+for+Assessing+the+Popularity+of+Research+Articles+on+Twitter&amp;author=Pandian%2C+Nandhini+Devi+Soundara%3BNa%2C+Jin-Cheon%3BVeeramachaneni%2C+Bhargavi%3BBoothaladinni%2C+Rashmi+Vishwanath&amp;issn=22879099&amp;title=Journal+of+Information+Science+Theory+and+Practice&amp;volume=7&amp;issue=4&amp;date=2019-12-01&amp;spage=33&amp;id=doi:10.1633%2FJISTAP.2019.7.4.3&amp;sid=ProQ_ss&amp;genre=article,"Altmetrics measure the frequency of references about an article on social media platforms, like Twitter. This paper studies a variety of factors that affect the popularity of articles (i.e., the number of article mentions) in the field of psychology on Twitter. Firstly, in this study, we classify Twitter users mentioning research articles as academic versus non-academic users and experts versus non experts, using a machine learning approach. Then we build a negative binomial regression model with the number of Twitter mentions of an article as a dependant variable, and nine Twitter related factors (the number of followers, number of friends, number of status, number of lists, number of favourites, number of retweets, number of likes, ratio of academic users, and ratio of expert users) and seven article related factors (the number of authors, title length, abstract length, abstract readability, number of institutions, citation count, and availability of research funding) as independent variables. From our findings, if a research article is mentioned by Twitter users with a greater number of friends, status, favourites, and lists, by tweets with a large number of retweets and likes, and largely by Twitter users with academic and expertise knowledge on the field of psychology, the article gains more Twitter mentions. In addition, articles with a greater number of authors, title length, abstract length, and citation count, and articles with research funding get more attention from Twitter users.","social networks , bibliometrics , informetrics , research funding , discriminant analysis","nandhini devi soundara pandian, jin-cheon na, bhargavi veeramachaneni, rashmi vishwanath boothaladinni",altmetrics factor analysis for assessing the popularity of research articles on twitter,journal of information science theory and practice
4,"Presencia, actividad, visibilidad e interdisciplinariedad del profesorado universitario de Documentación en los medios sociales: una perspectiva de género",Scholarly Journals,"michela montesi, isabel villasenor rodriguez, fernando bittencourt dos santos",10.3989/redc.2019.4.1640,Journal Article,4,Spanish,2019,42," Gender differences , Gender aspects , Web 2.0 , Citations , Scientometrics , Collaboration , Bibliometrics , Social networks , Scientific papers , Interdisciplinary aspects , Social networks , Library and information science , Visibility , Scholars , Libraries , Scholarly communication , Digital media , Social research , Open access",,Revista Espanola de Documentacion Cientifica,,"Se estudia la presencia, actividad, visibilidad e interdisciplinaridad de 349 profesoras y profesores de Documentación en los medios sociales, para comprobar si existen diferencias entre los dos conjuntos. Las plataformas estudiadas incluyen ResearchGate (RG), Google Scholar Citations (GSC), y Twitter, y la población analizada corresponde al profesorado de 13 universidades españolas que ofertan formación en Biblioteconomía y Documentación. Los datos se recogieron entre abril y junio de 2018. Para las cuatro dimensiones de estudio se analizaron diferentes variables, incluyendo, entre otros, el número de documentos subidos a RG y el número de tweets, respuestas y retweets en Twitter para la actividad, y el porcentaje de documentos en acceso abierto y de documentos diferentes a los géneros tradicionales en RG y el número de seguidores y seguidoras por perfil en Twitter para la visibilidad. Los resultados apuntan a diferencias entre los dos colectivos, especialmente acentuadas en términos de visibilidad.","gender differences , gender aspects , web 2.0 , citations , scientometrics , collaboration , bibliometrics , social networks , scientific papers , interdisciplinary aspects , social networks , library and information science , visibility , scholars , libraries , scholarly communication , digital media , social research , open access","michela montesi, isabel villasenor rodriguez, fernando bittencourt dos santos",presencia actividad visibilidad e interdisciplinariedad del profesorado universitario de documentacion en los medios sociales una perspectiva de genero,revista espanola de documentacion cientifica
5,The institutional repository landscape in medical schools and academic health centers: a 2018 snapshot view and analysis,Scholarly Journals,"daniel g kipnis msi, lisa a msls palmer, ramune k mals kubilius",10.5195/jmla.2019.653,Journal Article,4,English,2019,107," Digital archives , Library collections , Medical libraries , Health facilities , Learning commons , Health sciences , Internet resources , Scholarly communication , Medical schools , Medical school libraries , Open access , Institutional repositories , United States--US",,Journal of the Medical Library Association,,"Objective: This study uses survey research methods to gain a deeper understanding of the institutional repository (IR) landscape in medical schools and academic health centers. Methods: Members of the Association of Academic Health Sciences Libraries (AAHSL) were surveyed about their IRs. The authors used a mixed-methods approach of a survey and qualitative content analysis to identify common themes. Results: Survey results indicate that a large majority of responding medical schools and academic health centers have or are implementing an IR (35 out of 50, 70%). Of these, 60% (21 institutions) participate in an institution-wide IR rather than administer their own repositories. Much of the archived content is grey literature that has not already been published, but the percentage of original content varies greatly among institutions. The majority (57.1%) of respondent institutions are not considering an open access policy or mandate. Most institutions (71.4%) reported that repository staff are depositing materials on behalf of users. DSpace and bepress Digital Commons are the most popular repository platforms in this community. The planned enhancements that were most frequently reported were implementing a discovery layer and ORCID integration. The majority of respondents (54.3%) do not plan to migrate to a different platform in the foreseeable future. Analysis of respondent comments identified the following themes: integration, redundancy, and reporting; alternatives and exploration; uniqueness; participation; and funding and operations. Conclusions: The study results capture a view of the IR landscape in medical schools and academic health centers and help readers understand what services their peers have in place as well as their plans for future developments.","digital archives , library collections , medical libraries , health facilities , learning commons , health sciences , internet resources , scholarly communication , medical schools , medical school libraries , open access , institutional repositories , united states--us","daniel g kipnis msi, lisa a msls palmer, ramune k mals kubilius",the institutional repository landscape in medical schools and academic health centers a 2018 snapshot view and analysis,journal of the medical library association
6,Implementing and assessing a service to demonstrate public impact of faculty research in news and policy sources,Scholarly Journals,"caitlin j ahip bakker, jenny mcburney, katherine v chew, melissa aho, del reed",10.5195/jmla.2019.709,Journal Article,4,English,2019,107," Scientometrics , News media , Bibliometrics , Embedded librarianship , Academic libraries , Clinical medicine , Funding , Information professionals , Medical libraries , Researchers , Librarians , Health sciences , Informetrics , Scholarly communication , Library associations , Liaison work , Media coverage , Minnesota",,Journal of the Medical Library Association,,"Background: As the need to demonstrate research impact increases, faculty are looking for new ways to show funders, departments, and institutions that their work is making a difference. While traditional metrics such as citation counts can tell one part of this story, these metrics are focused on the academic sphere and often miss the wide-ranging public impact that research can have in areas such as the news or policy documents. Case Presentation: This case report describes how one library piloted and established the Policy &amp; News Media Impact Service, where librarians generate reports for faculty members of the University of Minnesota Academic Health Center that tracks citations of their research in governmental and organizational policies as well as local, national, and international news media. Workflows of, resources used in, and faculty feedback on the service are described. Conclusions: This Policy &amp; News Media Impact Service pilot was successful and resulted in the establishment of a permanent service that is available to all departments in the Academic Health Center. Faculty feedback indicated that the service was valuable in demonstrating the public impact of their research.","scientometrics , news media , bibliometrics , embedded librarianship , academic libraries , clinical medicine , funding , information professionals , medical libraries , researchers , librarians , health sciences , informetrics , scholarly communication , library associations , liaison work , media coverage , minnesota","caitlin j ahip bakker, jenny mcburney, katherine v chew, melissa aho, del reed",implementing and assessing a service to demonstrate public impact of faculty research in news and policy sources,journal of the medical library association
7,Listening and learning: myths and misperceptions about postgraduate students and library support,Scholarly Journals,"shiobhan alice smith, antje lubcke, alexander dean, kate thompson, christy ballard, fiona glasgow",10.1108/rsr-03-2019-0019,Journal Article,4,English,2019,47," Qualitative analysis , Data analysis , Software , Questions , Libraries , Web sites , Learning , Marketing , Questionnaires , Support services , Focus groups , Supervisors , Social networks , Surveying , Librarians , Software , Colleges & universities , Students , Graduate studies , New Zealand",,Reference Services Review,http://YH8ZS7TR6M.search.serialssolutions.com/directLink?&amp;atitle=Listening+and+learning%3A+myths+and+misperceptions+about+postgraduate+students+and+library+support&amp;author=Smith%2C+Shiobhan+Alice%3BLubcke%2C+Antje%3BDean%2C+Alexander%3BThompson%2C+Kate%3BBallard%2C+Christy%3BGlasgow%2C+Fiona&amp;issn=00907324&amp;title=Reference+Services+Review&amp;volume=47&amp;issue=4&amp;date=2019-10-01&amp;spage=594&amp;id=doi:10.1108%2FRSR-03-2019-0019&amp;sid=ProQ_ss&amp;genre=article,"Purpose The University of Otago Library conducted a review of its postgraduate support program in 2018. The purpose of this paper is to report on the findings of a questionnaire and follow up focus group undertaken as part of the review. It highlights postgraduate student preferences for learning about support services, their ideas on marketing these services effectively and the kind of engagement that works best for them. Design/methodology/approach A questionnaire was developed and deployed in July 2018. It contained 20 questions and was emailed to 2,430 enrolled Otago doctorate and master’s students by the University of Otago (GRS). A total of 564 responded, 391 completing all questions. A follow-up focus group was held in August 2018. Quantitative data were collected and analyzed using Qualtrics software and qualitative data were coded and analyzed using NVivo software. Findings Respondents highlighted the difficulty they have learning what support services are available to them. In some cases, they also feel a stigma when seeking help because of their status as postgraduate students. They suggest practical ways libraries can better reach out to them. The findings confirm previous literature about the need for libraries to improve marketing of their services to postgraduate students, communicate via supervisors and departments where possible and provide a variety of engagement options. Originality/value Before (re)developing postgraduate programs, libraries can gain valuable insights and test assumptions by surveying students.","qualitative analysis , data analysis , software , questions , libraries , web sites , learning , marketing , questionnaires , support services , focus groups , supervisors , social networks , surveying , librarians , software , colleges & universities , students , graduate studies , new zealand","shiobhan alice smith, antje lubcke, alexander dean, kate thompson, christy ballard, fiona glasgow",listening and learning myths and misperceptions about postgraduate students and library support,reference services review
8,Examining differences among book reviews from various online platforms,Scholarly Journals,"chengzhi zhang, tiantian tong, yi bu",10.1108/oir-01-2019-0037,Journal Article,7,English,2019,43," Writers , Web 2.0 , Data mining , Web sites , Motion pictures , Bibliometrics , Sentiment analysis , Social networks , Product reviews , Websites , Preferences , Impact analysis , Linguistics , Platforms , Libraries , Logistics , Book reviews , Social sciences , Evaluation , China",,Online Information Review,,"Purpose Websites have their own features in aspect preference (e.g. the relative importance platforms place on product aspects in product evaluation). The purpose of this paper is to capture characteristics of different book reviews on aspect preferences by opinion mining techniques. Design/methodology/approach The authors employ two indicators for identifying aspect preferences, and propose a method for quantifying overall differences of reviews on aspect preferences through three dimensions: aspect awareness, aspect satisfaction and comprehensive value. Findings The results show that book reviews on e-commerce websites contain information about external aspects of a book (e.g. hardcover), while those on social network websites pay more attention to content-related aspects of the book (e.g. stories). These results indicate that aspect preferences of reviews vary from platforms and make it hard to evaluate book comprehensively based on single-source data. Online book reviews from a wide range of sources can assess book impact from multiple perspectives and dimensions. Practical implications In order to illustrate the value of the authors’ method, the authors show book impact assessment based on multi-source data as an application of these difference analyses. Furthermore, the authors present an example of a book promotion to provide customized marketing services for different user clusters. Originality/value This study investigates the influence of different data sources on book evaluation from the content of book reviews. The authors also showcase potential applications of these analyses in book impact assessment.","writers , web 2.0 , data mining , web sites , motion pictures , bibliometrics , sentiment analysis , social networks , product reviews , websites , preferences , impact analysis , linguistics , platforms , libraries , logistics , book reviews , social sciences , evaluation , china","chengzhi zhang, tiantian tong, yi bu",examining differences among book reviews from various online platforms,online information review
9,A comparative analysis of Twitter users who Tweeted on psychology and political science journal articles,Scholarly Journals,"yanfen zhou, na jin-cheon",10.1108/oir-03-2019-0097,Journal Article,7,English,2019,43," Research , Psychology , Machine learning , Web 2.0 , Psychology , Citations , Demographics , Artificial intelligence , Demographics , Politics , Organizations , Gender , Researchers , Machine learning , Political science , Social sciences , Bibliometrics , Support vector machines , Studies , Social networks , Informetrics , Popularity , Scholarly communication , Dirichlet problem , Geographical locations , Ukraine",,Online Information Review,,"Purpose The purpose of this paper is to understand the similarities and differences between the Twitter users who tweeted on journal articles in psychology and political science disciplines. Design/methodology/approach The data were collected from Web of Science, Altmetric.com, and Twitter. A total of 91,826 tweets with 22,541 distinct Twitter user profiles for psychology discipline and 29,958 tweets with 10,478 distinct Twitter user profiles for political science discipline were used for analysis. The demographics analysis includes gender, geographic location, individual or organization user, academic or non-academic background, and psychology/political science domain knowledge background. A machine learning approach using support vector machine (SVM) was used for user classification based on the Twitter user profile information. Latent Dirichlet allocation (LDA) topic modeling was used to discover the topics that the users discussed from the tweets. Findings Results showed that the demographics of Twitter users who tweeted on psychology and political science are significantly different. Tweets on journal articles in psychology reflected more the impact of scientific research finding on the general public and attracted more attention from the general public than the ones in political science. Disciplinary difference in term of user demographics exists, and thus it is important to take the discipline into consideration for future altmetrics studies. Originality/value From this study, researchers or research organizations may have a better idea on who their audiences are, and hence more effective strategies can be taken by researchers or organizations to reach a wider audience and enhance their influence.","research , psychology , machine learning , web 2.0 , psychology , citations , demographics , artificial intelligence , demographics , politics , organizations , gender , researchers , machine learning , political science , social sciences , bibliometrics , support vector machines , studies , social networks , informetrics , popularity , scholarly communication , dirichlet problem , geographical locations , ukraine","yanfen zhou, na jin-cheon",a comparative analysis of twitter users who tweeted on psychology and political science journal articles,online information review
