,authors,author_full_name,title,journal,language,document_type,keywords,year,vol,issue,doi,authors_l,authors_full_l,title_l,journal_l,keywords_l
3,"Kim, JE; Kim, Y; Park, KM; Yoon, DY; Bae, JS","Kim, Jee-Eun; Kim, Yerim; Park, Kang Min; Yoon, Dae Young; Bae, Jong Seok",Top 100 Publications as Measured by Altmetrics in the Field of Central Nervous System Inflammatory Demyelinating Disease,BIOMED RESEARCH INTERNATIONAL,English,Article,,2019,2019,0,10.1155/2019/3748091,"je kim, y kim, km park, dy yoon, js bae","jee-eun kim, yerim kim, kang min park, dae young yoon, jong seok bae",top 100 publications as measured by altmetrics in field central nervous system inflammatory demyelinating disease,biomed research international,
4,"Nocera, AP; Boyd, CJ; Boudreau, H; Hakim, O; Rais-Bahrami, S","Nocera, Alexander P.; Boyd, Carter J.; Boudreau, Hunter; Hakim, Ornin; Rais-Bahrami, Soroush",Examining the Correlation Between Altmetric Score and Citations in the Urology Literature,UROLOGY,English,Article,,2019,134,0,10.1016/j.urology.2019.09.014,"ap nocera, cj boyd, h boudreau, o hakim, s rais-bahrami","alexander p. nocera, carter j. boyd, hunter boudreau, ornin hakim, soroush rais-bahrami",examining correlation between altmetric score citations in urology literature,urology,
7,"Ouchi, A; Saberi, MK; Ansari, N; Hashempour, L; Isfandyari-Moghaddam, A","Ouchi, Ali; Saberi, Mohammad Karim; Ansari, Nasim; Hashempour, Leila; Isfandyari-Moghaddam, Alireza","Do altmetrics correlate with citations? A study based on the 1,000 most-cited articles",INFORMATION DISCOVERY AND DELIVERY,English,Article,Social media; Bibliometrics; Altmetrics; Nature; Alternative metrics; highly cited articles,2019,47,4,10.1108/idd-07-2019-0050,"a ouchi, mk saberi, n ansari, l hashempour, a isfandyari-moghaddam","ali ouchi, mohammad karim saberi, nasim ansari, leila hashempour, alireza isfandyari-moghaddam",do altmetrics correlate with citations a study based on 1 000 most cited articles,information discovery and delivery,"alternative metrics, altmetrics, bibliometrics, highly cited articles, nature, social media"
8,"Williams, AE","Williams, Ann E.",Exploring the utility of an emerging altmetric platform: a SWOT analysis of Plum Analytics,DIGITAL LIBRARY PERSPECTIVES,English,Article,,2019,35,3/4,10.1108/dlp-08-2019-0031,ae williams,ann e. williams,exploring utility an emerging altmetric platform a swot analysis plum analytics,digital library perspectives,
9,"Zhou, YF; Na, JC","Zhou, Yanfen; Na, Jin-Cheon",A comparative analysis of Twitter users who Tweeted on psychology and political science journal articles,ONLINE INFORMATION REVIEW,English,Article,Psychology; Machine learning; Scholarly communication; Political science; Twitter user profile,2019,43,7,10.1108/oir-03-2019-0097,"yf zhou, jc na","yanfen zhou, jin-cheon na",a comparative analysis twitter users who tweeted on psychology political science journal articles,online information review,"machine learning, political science, psychology, scholarly communication, twitter user profile"
12,"Olmeda-Gomez, C; Perianes-Rodriguez, A","Olmeda-Gomez, Carlos; Perianes-Rodriguez, Antonio","Altmetrics as a research specialty (Dimensions, 2005-2018)",PROFESIONAL DE LA INFORMACION,English,Article,Altmetrics; Citation; Citation network analysis; Co-citation analysis; Visualization of citation networks; Scholarly social media; Indicators; Authors; Scientific journals; Scholarly communication; Science mapping; Dimensions; CiteSpace,2019,28,6,10.3145/epi.2019.nov.08,"c olmeda-gomez, a perianes-rodriguez","carlos olmeda-gomez, antonio perianes-rodriguez",altmetrics as a research specialty dimensions 2005 2018,profesional de la informacion,"altmetrics, authors, citation, citation network analysis, citespace, co-citation analysis, dimensions, indicators, scholarly communication, scholarly social media, science mapping, scientific journals, visualization of citation networks"
13,"Kokol, P; Vosner, HB","Kokol, Peter; Vosner, Helena Blazun","Historical, descriptive and exploratory analysis of application of bibliometrics in nursing research",NURSING OUTLOOK,English,Article,Bibliometrics; Nursing research; Papers as topics; Historical roots; Thematic analysis,2019,67,6,10.1016/j.outlook.2019.04.009,"p kokol, hb vosner","peter kokol, helena blazun vosner",historical descriptive exploratory analysis application bibliometrics in nursing research,nursing outlook,"bibliometrics, historical roots, nursing research, papers as topics, thematic analysis"
16,"Daniel, HD","Daniel, Hans-Dieter",Lutz Bornmann: Recipient of the 2019 Derek John de Solla Price Medal,SCIENTOMETRICS,English,Article,,2019,121,3,10.1007/s11192-019-03251-4,hd daniel,hans-dieter daniel,lutz bornmann recipient 2019 derek john solla price medal,scientometrics,
17,"Yeung, AWK; Ho, YS","Yeung, Andy Wai Kan; Ho, Yuh-Shan",Highly cited dental articles and their authors: An evaluation of publication and citation characteristics,JOURNAL OF INVESTIGATIVE AND CLINICAL DENTISTRY,English,Article,bibliometric; citation; classic article; implant; Web of Science,2019,10,4,10.1111/jicd.12462,"awk yeung, ys ho","andy wai kan yeung, yuh-shan ho",highly cited dental articles their authors an evaluation publication citation characteristics,journal of investigative and clinical dentistry,"bibliometric, citation, classic article, implant, web of science"
18,"Tulchinsky, M; Brill, AB","Tulchinsky, Mark; Brill, A. Bertrand",Spotlight on the Association of Radioactive Iodine Treatment With Cancer Mortality in Patients With Hyperthyroidism is Keeping the Highest Risk From Antithyroid Drugs in the Blind Spot,CLINICAL NUCLEAR MEDICINE,English,Article,radioactive iodine; hyperthyroidism; neoplasms; radiation-induced; iodine radioisotopes; adverse effects; therapeutic use; retrospective studies,2019,44,10,10.1097/rlu.0000000000002792,"m tulchinsky, ab brill","mark tulchinsky, a. bertrand brill",spotlight on association radioactive iodine treatment with cancer mortality in patients with hyperthyroidism is keeping highest risk from antithyroid drugs in blind spot,clinical nuclear medicine,"adverse effects, hyperthyroidism, iodine radioisotopes, neoplasms, radiation-induced, radioactive iodine, retrospective studies, therapeutic use"
