,base,authors_l,title_l,title,journal_l,keywords_l,year,doi
14,dimensions,"andrew murray, paul kelly, sarah morton, danny glover, jennifer duncan, roger hawkes, liz grant, nanette mutrie",maximising and evaluating the uptake use and impact of golf and health studies,"Maximising and evaluating the uptake, use and impact of golf and health studies",british journal of sports medicine,"11 medical and health sciences, 1117 public health and health services",2019,10.1136/bjsports-2019-100994
15,dimensions,"adele paul-hus, nadine desrochers",acknowledgements are not just thank you notes a qualitative analysis of acknowledgements content in scientific articles and reviews published in 2015,Acknowledgements are not just thank you notes: A qualitative analysis of acknowledgements content in scientific articles and reviews published in 2015,plos one,"16 studies in human society, 1608 sociology",2019,10.1371/journal.pone.0226727
17,dimensions,"amanda dennis, ruth manski, jenny o'donnell",assessing research impact a framework and an evaluation of the society of family planning research funds grantmaking 2007 2017,Assessing research impact: a framework and an evaluation of the Society of Family Planning Research Fund’s grantmaking (2007-2017),contraception,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.contraception.2019.11.007
18,dimensions,"victor t. warren, bhumika patel, carter j. boyd",analyzing the relationship between altmetric score and literature citations in the implantology literature,Analyzing the relationship between Altmetric score and literature citations in the Implantology literature,clinical implant dentistry and related research,"11 medical and health sciences, 1105 dentistry",2019,10.1111/cid.12876
19,dimensions,"darwin y fu, jacob j hughey",meta research releasing a preprint is associated with more attention and citations for the peer reviewed article,Meta-Research: Releasing a preprint is associated with more attention and citations for the peer-reviewed article,elife,"06 biological sciences, 0601 biochemistry and cell biology",2019,10.7554/elife.52646
20,dimensions,"andrew d. choi, purvi parwani, erin d. michos, james lee, vasvi singh, emilio fentanes, juan lopez-mattei, martha gulati, khurram nasir, koen nieman, leslee j. shaw, ron blankstein",the global social media response to the 14th annual society of cardiovascular computed tomography scientific sessions,The global social media response to the 14th annual Society of Cardiovascular Computed Tomography scientific sessions,journal of cardiovascular computed tomography,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology, 1103 clinical sciences",2019,10.1016/j.jcct.2019.12.003
21,dimensions,"morwenna senior, seena fazel",measuring an individual researchers impact new directions and challenges,Measuring an individual researcher’s impact: new directions and challenges,evidence based mental health,"11 medical and health sciences, 1117 public health and health services",2019,10.1136/ebmental-2019-300122
22,dimensions,"melissa r. arbuckle, michael j. travis, jane eisen, amanda wang, ashley e. walker, joseph j. cooper, liz neeley, sidney zisook, deborah s. cowley, david a. ross",transforming psychiatry from the classroom to the clinic lessons from the national neuroscience curriculum initiative,Transforming Psychiatry from the Classroom to the Clinic: Lessons from the National Neuroscience Curriculum Initiative,academic psychiatry,"13 education, 1302 curriculum and pedagogy",2019,10.1007/s40596-019-01119-6
23,dimensions,"jee-eun kim, yerim kim, kang min park, dae young yoon, jong seok bae",top 100 publications as measured by altmetrics in the field of central nervous system inflammatory demyelinating disease,Top 100 Publications as Measured by Altmetrics in the Field of Central Nervous System Inflammatory Demyelinating Disease,biomed research international,"06 biological sciences, 08 information and computing sciences, 10 technology",2019,10.1155/2019/3748091
25,dimensions,"mingyang wang, jiaqi zhang, shijia jiao, tianyu zhang",evaluating the impact of citations of articles based on knowledge flow patterns hidden in the citations,Evaluating the impact of citations of articles based on knowledge flow patterns hidden in the citations,plos one,"15 commerce, management, tourism and services, 1503 business and management",2019,10.1371/journal.pone.0225276
27,dimensions,david j. reinkensmeyer,jner at 15 years analysis of the state of neuroengineering and rehabilitation,JNER at 15 years: analysis of the state of neuroengineering and rehabilitation,journal of neuroengineering and rehabilitation,"09 engineering, 0903 biomedical engineering, 11 medical and health sciences, 1109 neurosciences",2019,10.1186/s12984-019-0610-0
29,dimensions,"victor t. warren, k. tuck borie, timothy c. kreger, kimberly d. martin, carter j. boyd",factors associated with low and high article citations in the oral and maxillofacial surgery literature,Factors associated with low and high article citations in the oral and maxillofacial surgery literature,journal of oral and maxillofacial surgery,"11 medical and health sciences, 1103 clinical sciences",2019,10.1016/j.joms.2019.11.004
32,dimensions,"giuliana lee, andrew d. choi, erin d. michos",social media as a means to disseminate and advocate cardiovascular research why how and best practices,"Social Media as a Means to Disseminate and Advocate Cardiovascular Research: Why, How, and Best Practices.",current cardiology reviews,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology, 1103 clinical sciences, 1117 public health and health services",2019,10.2174/1573403x15666191113151325
33,dimensions,"konstantina delli, christos livas, pieter u. dijkstra",how has the dental literature evolved over time analyzing 20 years of journal self citation rates and impact factors,How has the dental literature evolved over time? Analyzing 20 years of journal self-citation rates and impact factors,acta odontologica scandinavica,"11 medical and health sciences, 1117 public health and health services",2019,10.1080/00016357.2019.1685681
