,doi,title,journal,year,vol,issue,document_type,authors,url,keywords,authors_l,title_l,journal_l,keywords_l
14,10.1136/bjsports-2019-100994,"Maximising and evaluating the uptake, use and impact of golf and health studies",British Journal of Sports Medicine,2019,0,0,Article,"Murray, Andrew; Kelly, Paul; Morton, Sarah; Glover, Danny; Duncan, Jennifer; Hawkes, Roger; Grant, Liz; Mutrie, Nanette",https://app.dimensions.ai/details/publication/pub.1123532677,1117 Public Health and Health Services; 11 Medical and Health Sciences,"andrew murray, paul kelly, sarah morton, danny glover, jennifer duncan, roger hawkes, liz grant, nanette mutrie",maximising and evaluating the uptake use and impact of golf and health studies,british journal of sports medicine,"11 medical and health sciences, 1117 public health and health services"
15,10.1371/journal.pone.0226727,Acknowledgements are not just thank you notes: A qualitative analysis of acknowledgements content in scientific articles and reviews published in 2015,PLoS ONE,2019,14,12,Article,"Paul-Hus, Adèle; Desrochers, Nadine",https://app.dimensions.ai/details/publication/pub.1123531929,1608 Sociology; 16 Studies in Human Society,"adele paul-hus, nadine desrochers",acknowledgements are not just thank you notes a qualitative analysis of acknowledgements content in scientific articles and reviews published in 2015,plos one,"16 studies in human society, 1608 sociology"
17,10.1016/j.contraception.2019.11.007,Assessing research impact: a framework and an evaluation of the Society of Family Planning Research Fund’s grantmaking (2007-2017),Contraception,2019,0,0,Article,"Dennis, Amanda; Manski, Ruth; O'Donnell, Jenny",https://app.dimensions.ai/details/publication/pub.1123436264,1117 Public Health and Health Services; 11 Medical and Health Sciences,"amanda dennis, ruth manski, jenny o'donnell",assessing research impact a framework and an evaluation of the society of family planning research funds grantmaking 2007 2017,contraception,"11 medical and health sciences, 1117 public health and health services"
18,10.1111/cid.12876,Analyzing the relationship between Altmetric score and literature citations in the Implantology literature,Clinical Implant Dentistry and Related Research,2019,0,0,Article,"Warren, Victor T.; Patel, Bhumika; Boyd, Carter J.",https://app.dimensions.ai/details/publication/pub.1123309815,11 Medical and Health Sciences; 1105 Dentistry,"victor t. warren, bhumika patel, carter j. boyd",analyzing the relationship between altmetric score and literature citations in the implantology literature,clinical implant dentistry and related research,"11 medical and health sciences, 1105 dentistry"
19,10.7554/elife.52646,Meta-Research: Releasing a preprint is associated with more attention and citations for the peer-reviewed article,eLife,2019,8,0,Article,"Fu, Darwin Y; Hughey, Jacob J",https://app.dimensions.ai/details/publication/pub.1123188847,0601 Biochemistry and Cell Biology; 06 Biological Sciences,"darwin y fu, jacob j hughey",meta research releasing a preprint is associated with more attention and citations for the peer reviewed article,elife,"06 biological sciences, 0601 biochemistry and cell biology"
20,10.1016/j.jcct.2019.12.003,The global social media response to the 14th annual Society of Cardiovascular Computed Tomography scientific sessions,Journal of Cardiovascular Computed Tomography,2019,0,0,Article,"Choi, Andrew D.; Parwani, Purvi; Michos, Erin D.; Lee, James; Singh, Vasvi; Fentanes, Emilio; Lopez-Mattei, Juan; Gulati, Martha; Nasir, Khurram; Nieman, Koen; Shaw, Leslee J.; Blankstein, Ron",https://app.dimensions.ai/details/publication/pub.1123154251,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences; 1103 Clinical Sciences,"andrew d. choi, purvi parwani, erin d. michos, james lee, vasvi singh, emilio fentanes, juan lopez-mattei, martha gulati, khurram nasir, koen nieman, leslee j. shaw, ron blankstein",the global social media response to the 14th annual society of cardiovascular computed tomography scientific sessions,journal of cardiovascular computed tomography,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology, 1103 clinical sciences"
21,10.1136/ebmental-2019-300122,Measuring an individual researcher’s impact: new directions and challenges,Evidence-Based Mental Health,2019,0,0,Article,"Senior, Morwenna; Fazel, Seena",https://app.dimensions.ai/details/publication/pub.1123131563,1117 Public Health and Health Services; 11 Medical and Health Sciences,"morwenna senior, seena fazel",measuring an individual researchers impact new directions and challenges,evidence based mental health,"11 medical and health sciences, 1117 public health and health services"
22,10.1007/s40596-019-01119-6,Transforming Psychiatry from the Classroom to the Clinic: Lessons from the National Neuroscience Curriculum Initiative,Academic Psychiatry,2019,0,0,Article,"Arbuckle, Melissa R.; Travis, Michael J.; Eisen, Jane; Wang, Amanda; Walker, Ashley E.; Cooper, Joseph J.; Neeley, Liz; Zisook, Sidney; Cowley, Deborah S.; Ross, David A.",https://app.dimensions.ai/details/publication/pub.1123120565,1302 Curriculum and Pedagogy; 13 Education,"melissa r. arbuckle, michael j. travis, jane eisen, amanda wang, ashley e. walker, joseph j. cooper, liz neeley, sidney zisook, deborah s. cowley, david a. ross",transforming psychiatry from the classroom to the clinic lessons from the national neuroscience curriculum initiative,academic psychiatry,"13 education, 1302 curriculum and pedagogy"
23,10.1155/2019/3748091,Top 100 Publications as Measured by Altmetrics in the Field of Central Nervous System Inflammatory Demyelinating Disease,BioMed Research International,2019,2019,0,Article,"Kim, Jee-Eun; Kim, Yerim; Park, Kang Min; Yoon, Dae Young; Bae, Jong Seok",https://app.dimensions.ai/details/publication/pub.1123060628,08 Information and Computing Sciences; 10 Technology; 06 Biological Sciences,"jee-eun kim, yerim kim, kang min park, dae young yoon, jong seok bae",top 100 publications as measured by altmetrics in the field of central nervous system inflammatory demyelinating disease,biomed research international,"06 biological sciences, 08 information and computing sciences, 10 technology"
25,10.1371/journal.pone.0225276,Evaluating the impact of citations of articles based on knowledge flow patterns hidden in the citations,PLoS ONE,2019,14,11,Article,"Wang, Mingyang; Zhang, Jiaqi; Jiao, Shijia; Zhang, Tianyu",https://app.dimensions.ai/details/publication/pub.1122797389,"1503 Business and Management; 15 Commerce, Management, Tourism and Services","mingyang wang, jiaqi zhang, shijia jiao, tianyu zhang",evaluating the impact of citations of articles based on knowledge flow patterns hidden in the citations,plos one,"15 commerce, management, tourism and services, 1503 business and management"
